name,website_url,scholarship_url,annual_cost_min,annual_cost_max,financial_aid_available,state,city,region,campus_setting,majors,academic_reputation,faculty_quality,avg_class_size,graduation_rate,avg_starting_salary,job_placement_rate,student_population,campus_culture,safety_rating,latitude,longitude,career_services_rating,athletics_division,athletics_rating,facilities_rating,institution_type
Massachusetts Institute of Technology,https://www.mit.edu,https://sfs.mit.edu/,55878,73160,9,MA,Cambridge,Northeast,Urban,"Computer Science,Engineering,Physics,Mathematics,Biology",10,10,15,96,95000,95,11934,Academic-focused,9,42.3601,-71.0942,9,D3,6,10,4-year
Stanford University,https://www.stanford.edu,https://financialaid.stanford.edu/,62484,82406,9,CA,Stanford,West Coast,Suburban,"Computer Science,Engineering,Business,Biology,Psychology",10,10,12,94,98000,94,17249,Diverse,9,37.4275,-122.1697,10,D1,9,10,4-year
Harvard University,https://www.harvard.edu,https://college.harvard.edu/financial-aid,54269,75891,9,MA,Cambridge,Northeast,Urban,"Economics,Government,Biology,Psychology,English",10,10,13,98,89000,96,23731,Diverse,9,42.3770,-71.1167,10,D1,8,10,4-year
University of California Berkeley,https://www.berkeley.edu,https://financialaid.berkeley.edu/,43980,71632,8,CA,Berkeley,West Coast,Urban,"Engineering,Computer Science,Biology,Economics,Political Science",10,9,20,93,85000,92,45057,Liberal,8,37.8719,-122.2585,9,D1,8,9,4-year
University of Texas Austin,https://www.utexas.edu,https://onestop.utexas.edu/,28658,52094,7,TX,Austin,Southwest,Urban,"Business,Engineering,Liberal Arts,Natural Sciences,Communication",9,8,25,88,75000,88,51991,Diverse,7,30.2849,-97.7341,8,D1,9,9,4-year
Arizona State University,https://www.asu.edu,https://students.asu.edu/scholarships,30952,52116,6,AZ,Tempe,Southwest,Urban,"Business,Engineering,Liberal Arts,Sustainability,Innovation",7,7,30,67,62000,82,80065,Diverse,6,33.4242,-111.9281,7,D1,8,8,4-year
University of Florida,https://www.ufl.edu,https://www.sfa.ufl.edu/,21431,43929,7,FL,Gainesville,Southeast,Suburban,"Business,Engineering,Health Sciences,Liberal Arts,Agriculture",8,8,28,90,68000,87,56567,Social,8,29.6436,-82.3549,8,D1,9,8,4-year
Ohio State University,https://www.osu.edu,https://sfa.osu.edu/,33502,56420,6,OH,Columbus,Midwest,Urban,"Business,Engineering,Liberal Arts,Health Sciences,Education",8,7,27,88,65000,85,66046,Social,7,40.0067,-83.0305,8,D1,9,8,4-year
University of Michigan,https://www.umich.edu,https://finaid.umich.edu/,32272,70448,8,MI,Ann Arbor,Midwest,Suburban,"Engineering,Business,Liberal Arts,Medicine,Law",10,9,22,93,82000,92,47907,Diverse,8,42.2780,-83.7382,9,D1,9,9,4-year
Northwestern University,https://www.northwestern.edu,https://undergradaid.northwestern.edu/,63468,85924,9,IL,Evanston,Midwest,Suburban,"Journalism,Engineering,Business,Liberal Arts,Communication",9,9,15,95,88000,94,23061,Academic-focused,9,42.0565,-87.6753,9,D1,8,9,4-year
Duke University,https://www.duke.edu,https://financialaid.duke.edu/,63450,84293,9,NC,Durham,Southeast,Suburban,"Public Policy,Engineering,Biology,Economics,Psychology",10,9,14,96,90000,95,17620,Competitive,9,36.0014,-78.9382,9,D1,9,10,4-year
Emory University,https://www.emory.edu,https://www.emory.edu/financial_aid/,57948,79532,8,GA,Atlanta,Southeast,Urban,"Business,Nursing,Biology,Psychology,Economics",9,8,18,91,78000,90,14513,Diverse,8,33.7920,-84.3230,8,D3,5,9,4-year
University of Washington,https://www.washington.edu,https://www.washington.edu/financialaid/,28860,52416,7,WA,Seattle,West Coast,Urban,"Computer Science,Engineering,Biology,Business,Psychology",9,8,23,84,76000,89,52319,Liberal,7,47.6553,-122.3035,8,D1,7,8,4-year
University of Wisconsin Madison,https://www.wisc.edu,https://financialaid.wisc.edu/,26660,47886,7,WI,Madison,Midwest,Urban,"Engineering,Business,Biology,Agriculture,Liberal Arts",8,8,26,88,71000,87,47932,Social,8,43.0766,-89.4125,8,D1,8,8,4-year
